,street_address,city,state,zip_code,longitude,latitude,family_id
0,3842 Foster Extension Suite 802,Kodiak,AK,99615,-152.435656,57.855664,zgwwktzKhQ
1,44321 Walker Keys Apt. 864,Anchorage,AK,99515,-149.922917,61.137293,pLWALrqnyh
2,2986 Bennett Islands,Fairbanks,AK,99701,-147.729893,64.964319,FOftMIWqih
3,87184 Heather Route,Anchorage,AK,99504,-149.787056,61.214061,HqRjqVkkKM
4,106 Garcia Landing Apt. 252,Fairbanks,AK,99701,-147.773499,64.971583,VhqYNluvOP
5,4902 Robert Tunnel,Wasilla,AK,99654,-149.468507,61.621116,xfbzPhLvRB
6,337 Gibson Ramp Suite 353,Kodiak,AK,99615,-152.423845,57.847666,pKshCGJraD
7,3417 Tyler Shoals,Kodiak,AK,99615,-152.441792,57.821254,HGCNPaviVo
8,2320 Anne Manors Apt. 580,Anchorage,AK,99515,-149.981775,61.147836,sMazMqmcCZ
9,73126 Colleen Land Apt. 456,Kodiak,AK,99615,-152.453274,57.878245,UhOcibOswB
10,138 William Wells,Ketchikan,AK,99901,-131.712336,55.486343,OzmgcPClAZ
11,092 Jason Spur Apt. 641,Fairbanks,AK,99701,-147.74338,64.962644,PKlBRIsHxz
12,652 Matthew Gardens Suite 419,Anchorage,AK,99503,-149.975225,61.226329,eFTztrZnAu
13,710 Brennan Alley Suite 086,Fairbanks,AK,99701,-147.766313,64.923647,qmiAkkjCXU
14,0493 Mario Place Suite 639,Wasilla,AK,99654,-149.477305,61.610892,qZuNIAmNTd
15,927 Joshua Bypass Apt. 117,Ketchikan,AK,99901,-131.778514,55.485817,beKlFxtVqI
16,2894 Sandra Vista Suite 856,Anchorage,AK,99504,-149.726737,61.222851,VofXrCfzZU
17,2552 Debra Lights,Wasilla,AK,99654,-149.48937,61.674542,IBtroeuImz
18,063 Sergio Row Suite 594,Kenai,AK,99611,-151.248763,60.628778,hDihxFqome
19,17659 Robertson Neck,Fairbanks,AK,99701,-147.759468,64.980133,xXpDvAHSSi
20,887 Catherine Extension,Eagle River,AK,99577,-149.53822,61.368416,nQhElZoqjl
21,066 Arnold Trail,Anchorage,AK,99515,-149.937079,61.156264,tVkiRpbxMu
22,3896 Cochran Groves Apt. 927,Wasilla,AK,99654,-149.427571,61.61937,RwJXGRAKuw
23,6331 Jackson Springs Suite 691,Kenai,AK,99611,-151.27306,60.674687,qKXiiurKQS
24,184 Stephanie Ranch,Eagle River,AK,99577,-149.535044,61.315416,UpBbXgVcfk
25,27088 Lyons Harbor,Anchorage,AK,99503,-149.973832,61.224322,YoxbJtQAiz
26,8058 Craig Pass,Wasilla,AK,99654,-149.480312,61.68902,EJymHiQMpn
27,0794 Galvan Parks Apt. 347,Anchorage,AK,99515,-149.91769,61.171467,kvTwWxQdpI
28,7560 Smith Haven Apt. 757,Anchorage,AK,99503,-149.961042,61.226307,ahhDyqdrCA
29,463 Gilbert Valley Suite 766,Ketchikan,AK,99901,-131.733417,55.453166,tKeVGdmigu
30,600 Anderson Plaza,Eagle River,AK,99577,-149.532796,61.385131,zANqRCiuVR
31,335 Richard Spring,Ketchikan,AK,99901,-131.734621,55.436123,xqjvkzMpDd
32,76006 Mills Drive Suite 285,Eagle River,AK,99577,-149.570096,61.383833,dzUSHwVHPM
33,005 Rivera Drives,Anchorage,AK,99503,-149.92538,61.287252,JyfwuGybgn
34,540 Michelle Ferry,Ketchikan,AK,99901,-131.767795,55.45397,XCrpqpGqqe
35,2612 Clark Heights,Anchorage,AK,99503,-149.913915,61.257909,ZpKUhWryjK
36,96548 Mejia Curve,Ketchikan,AK,99901,-131.761851,55.455328,VOrwhLQrLg
37,893 Roberta Stravenue Suite 222,Ketchikan,AK,99901,-131.756343,55.424848,ygqPdMmtFW
38,8484 Smith Center,Fairbanks,AK,99701,-147.719604,64.960788,WwJTLYicsz
39,55345 Eric Ford,Wasilla,AK,99654,-149.457924,61.678239,jNtEVFmvBP
40,8598 Crystal Ways Suite 330,Anchorage,AK,99515,-149.920358,61.150169,gYPDLtxREz
41,31958 Whitaker Valleys Apt. 931,Anchorage,AK,99515,-149.957998,61.114563,cBkVlJavUP
42,983 Crystal Place,Anchorage,AK,99504,-149.714722,61.223423,wTWUHoXlax
43,104 Jackson Green,Fairbanks,AK,99701,-147.734049,64.919536,gFOlWBfpGl
44,164 Amanda Rapids,Kodiak,AK,99615,-152.447347,57.847867,lhToIzlAEb
45,767 Fields Lakes Apt. 237,Anchorage,AK,99503,-149.91997,61.271136,ULBdMinqKD
46,63445 Edward Underpass Suite 004,Ketchikan,AK,99901,-131.755014,55.474222,trTUIZSOYW
47,7130 Arnold Valley Apt. 975,Anchorage,AK,99503,-149.972695,61.214547,cTuEKatlwV
48,158 Sarah Cove Apt. 270,Fairbanks,AK,99701,-147.786036,64.950326,GYQHkrphnB
49,1385 Guerrero Inlet,Wasilla,AK,99654,-149.464842,61.611336,hgCiMWsPhN
50,47572 Molina Mountains Apt. 275,Anchorage,AK,99503,-149.95335,61.254912,ZBciOEjdVT
51,031 Ashley Underpass,Kenai,AK,99611,-151.26981,60.644263,vCAwdUyOAn
52,9814 Kevin Fall Apt. 152,Fairbanks,AK,99701,-147.735487,64.981179,hPtIzJmMru
53,90499 Fernandez Knoll Apt. 329,Wasilla,AK,99654,-149.454792,61.654685,bpTcygDRZs
54,6662 Kelly Parkway,Kenai,AK,99611,-151.285745,60.67037,tVVKWyYgob
55,70234 Theresa Ranch Suite 914,Ketchikan,AK,99901,-131.780194,55.412184,HrvAoDxGGU
56,1422 Valdez Keys Apt. 831,Eagle River,AK,99577,-149.558562,61.379426,NeAmtjYfkD
57,984 Bethany Loop,Wasilla,AK,99654,-149.45105,61.660991,LxojNbZvwO
58,531 Hamilton Crescent,Eagle River,AK,99577,-149.560673,61.380944,LcONVopYIp
59,229 Kelly Burg,Anchorage,AK,99503,-149.942543,61.221215,XQoNogqDUY
60,27350 Stewart Point,Fairbanks,AK,99701,-147.728816,64.918934,FTbrjrYQpY
61,5051 Kelli Tunnel Apt. 147,Eagle River,AK,99577,-149.519791,61.338289,EnRZWSbASl
62,065 Mason Pass,Fairbanks,AK,99701,-147.713985,64.949448,sbBbVCacIV
63,23962 Hernandez Brook,Eagle River,AK,99577,-149.554679,61.343649,xZrxJXDIeA
64,173 Crystal Villages,Anchorage,AK,99515,-149.973571,61.137217,RYdrlywpKw
65,3515 Brenda Coves Suite 635,Eagle River,AK,99577,-149.58206,61.369406,EGqfwVSgqk
66,405 Barnes Groves,Kenai,AK,99611,-151.217512,60.685246,fQKlLtMOgd
67,72533 Sanchez Village Suite 557,Eagle River,AK,99577,-149.557178,61.368603,KyqVckTPhP
68,939 Randy Villages,Kenai,AK,99611,-151.263813,60.615668,KaDNoDAhRx
69,19418 Bailey Station Suite 363,Wasilla,AK,99654,-149.424589,61.633047,tKOyKNnotR
70,317 Richard Grove Apt. 531,Anchorage,AK,99504,-149.766211,61.27839,sYbmkngymb
71,1297 Catherine Cape,Anchorage,AK,99504,-149.734928,61.211691,cWSOyYWzLC
72,52508 Adkins Cliffs Suite 523,Anchorage,AK,99503,-149.934217,61.269123,NXwWybDJWC
73,8530 Russell Parkway,Ketchikan,AK,99901,-131.759407,55.42544,odSmlZYWml
74,91484 Hall Green Apt. 134,Kenai,AK,99611,-151.253471,60.631432,jPXboVfsRY
75,22170 Crawford Street Suite 361,Anchorage,AK,99504,-149.743284,61.220425,wfEiZglYKf
76,2913 Heather Fall,Kodiak,AK,99615,-152.432341,57.884036,vuKPxjputa
77,4658 Gloria Cape,Kenai,AK,99611,-151.217717,60.665818,JNYaDxCXtQ
78,679 Ryan Pass Apt. 663,Fairbanks,AK,99701,-147.75219,64.971554,wAqLIUweVf
