,profile_uuid,family_id,family_name,first_name,dob,phone_number,ssn,income_group,job_name,job_company,job_address,card_choice,card_provider,credit_card_number,credit_card_security_code,credit_card_expire,marital_status
0,19385a8a-db73-4f71-8cb6-422711a9c3bf,zgwwktzKhQ,Edwards,Travis,1975-01-15,(585)548-5004x477,567-98-0784,200000.0,Industrial/product designer,Clark-Campbell,"9725 Nicole Roads Apt. 013
Adamschester, VA 98255",jcb16,JCB 16 digit,3503117174454544,133,04/26,single
1,05fe5fef-dd5a-4951-8185-0d7db4a4b4ac,pLWALrqnyh,Mathis,John,1983-04-24,498-754-7681x3244,157-40-4136,200000.0,Town planner,Hardy-Wang,"183 Carson Parks
West Lindsey, DC 15367",jcb16,JCB 16 digit,3598524089983952,615,12/22,married
2,3ea5a05c-6ad9-4686-8692-62139e01ce4a,pLWALrqnyh,Mathis,Julie,1998-07-31,001-445-178-9221x52893,297-33-1229,,,,,,,,,,married
3,81d8bebe-5d32-4d16-af44-925833441f1f,pLWALrqnyh,Mathis,Jeremy,2021-03-27,,216-86-0422,,,,,,,,,,single
4,d5a77cb4-1fc9-4b82-ba7c-4f5049e7a2c9,pLWALrqnyh,Mathis,Larry,2020-02-16,,570-40-1247,,,,,,,,,,single
5,4fb1e5e8-3370-473d-b04c-a888b09eae4e,FOftMIWqih,Orozco,Matthew,1954-03-03,326-845-7833x756,385-43-3114,80000.0,Software engineer,"Price, Clark and Smith","608 King Bypass
Carolborough, IL 83017",amex,American Express,340900128627478,5559,01/24,single
6,e4ce99a7-4535-4870-b772-0b631bde651c,HqRjqVkkKM,Allen,Brendan,1995-09-29,476-136-0633x05746,509-10-3844,200000.0,Professor Emeritus,Jones-Bolton,"0552 Lee Cliffs Suite 057
Hillhaven, NV 11476",maestro,Maestro,676288644823,920,04/26,single
7,0df88c3c-aaf2-4c0e-9ce1-65edf19b0499,VhqYNluvOP,Alexander,Christopher,1944-12-06,3865690338,871-35-9981,40000.0,Astronomer,Sandoval-Johnson,"2319 Elizabeth Turnpike
Roberthaven, ND 84437",jcb15,JCB 15 digit,213143220633847,654,09/23,married
8,694e7d6e-1953-4146-9484-9cad68b70ba7,VhqYNluvOP,Alexander,Rachel,1980-02-24,765.876.9249x71640,438-47-6411,,,,,,,,,,married
9,1f278c40-a7ba-4e87-8f3b-eacb38e9d4af,xfbzPhLvRB,Brooks,Adam,1975-05-07,(263)907-5346,104-82-4399,240000.0,Chartered accountant,Shepherd and Sons,"261 Richardson Plaza
Gardnerview, NH 40697",discover,Discover,6011529080131925,600,10/22,married
10,821ea7e5-3a0f-42fc-9721-b441b7ae4120,xfbzPhLvRB,Brooks,Cindy,1989-12-12,+1-210-660-5147x565,443-77-1162,,,,,,,,,,married
11,e43040c4-cba7-41c7-877d-28e6542344b5,pKshCGJraD,Thompson,Michael,1972-05-26,+1-048-881-0545,484-14-2075,80000.0,Chartered legal executive (England and Wales),Holmes Ltd,"688 Lauren Overpass
Vaughntown, NJ 52571",jcb,JCB 16 digit,3564373274924961,932,01/26,married
12,74d2a70d-f917-492a-aa41-d4a6f8510608,pKshCGJraD,Thompson,Lisa,1987-07-23,001-501-690-7414x290,555-99-1661,,,,,,,,,,married
13,ce657e39-f1a1-4943-9252-fa3ef0002987,pKshCGJraD,Thompson,Andrea,2006-01-08,,627-56-3048,,,,,,,,,,single
14,1ea24087-6920-4067-8c3b-06d6c7c02f92,pKshCGJraD,Thompson,Laura,2009-07-09,,312-01-7034,,,,,,,,,,single
15,dbba3187-5ecb-4e0d-ad7f-f01995bf6255,pKshCGJraD,Thompson,Mark,2013-07-19,,121-87-6031,,,,,,,,,,single
16,f7742ebe-f213-41ce-8c40-04fbe092df25,HGCNPaviVo,Butler,Alex,1941-06-25,+1-688-218-0376,297-82-6405,240000.0,Horticultural therapist,Gonzalez-Hamilton,"Unit 8771 Box 9168
DPO AA 81599",visa13,VISA 13 digit,4605516419019,867,04/31,single
17,17c678f7-0d4d-45b8-8822-debd7eceef39,sMazMqmcCZ,Tucker,Jacob,1983-02-02,(948)891-4572x53573,876-46-8775,120000.0,Energy engineer,Richardson-Thomas,"8324 Erica Mission Suite 419
Holtshire, FL 31702",mastercard,Mastercard,2260413334628514,737,01/28,married
18,bb28cecf-6ad2-422d-a024-d9aeda0e102d,sMazMqmcCZ,Tucker,Elizabeth,1998-02-23,143.001.3581x878,185-86-7772,,,,,,,,,,married
19,84f2d762-299a-49f5-88cd-cf785e1dd7e6,UhOcibOswB,Reynolds,Christopher,1954-01-30,(576)633-5941x0227,611-58-6432,80000.0,Production manager,"Cook, Dean and Robinson","Unit 2478 Box 6291
DPO AE 87292",visa13,VISA 13 digit,4280656821737,251,05/25,single
20,2981af40-002d-4fd9-b5b9-4e0bca784498,OzmgcPClAZ,Clark,Steven,1955-04-16,001-834-613-2022x928,247-27-1141,40000.0,Transport planner,Kelly and Sons,"758 Cooper Coves Suite 733
Stephanieside, TX 62864",discover,Discover,6011245309484611,569,05/26,married
21,729db3d7-2014-4eec-b3e2-de89f03ed68b,OzmgcPClAZ,Clark,Michelle,1987-10-20,007.422.7140x7387,267-09-4315,,,,,,,,,,married
